As A Result Of Breaking An Otome Game, The Villainess Young Lady Becomes A Cheat! || Viewed: Chapter 37  
Inaka No Home Center Otoko No Jiyuu Na Isekai Seikatsu || Viewed: Chapter 48  
Ningen Dakedo Maougun Shitennnou ni Sodaterareta Ore wa, Maou no Musume ni Aisare Shihaizokusei no Kennnou wo Ataeraremashita || Viewed: Chapter 5  
Level 1 no Saikyou kenja ~Noroi de sai kakyuu mahou shika tsukaenaikedo, kami no kanchigai de mugen no maryoku o te ni ire saikyou ni~ || Viewed: Chapter 28  
Isekai Yakkyoku || Viewed: Chapter 47  
I Became A Renowned Family’s Sword Prodigy || Viewed: Chapter 108  
Meccha Shoukan Sareta Ken || Viewed: Chapter 35  
The Beginning After The End || Viewed: Chapter 197  
Potion-Danomi De Ikinobimasu! || Viewed: Chapter 49  
Maxed Out Leveling || Viewed: Chapter 53  
Cheat Skill "Shisha Sosei" Ga Kakusei Shite Inishieno Maougun Wo Fukkatsu Sasete Shimaimashita ~Dare Mo Shinasenai Saikyou Hiiro~ || Viewed: Chapter 30  
Someday Will I Be The Greatest Alchemist? || Viewed: Chapter 21  
My Insanely Competent Underlings || Viewed: Chapter 27  
Level Drain - Zettai Musou no Boukensha - || Viewed: Chapter 46  
I Returned As An Fff-Class Witch Doctor || Viewed: Chapter 62  
Isekai De Saikyo Mao No Kodomotachi No Mama Ni Natchaimashita || Viewed: Chapter 37.2  
Rokuhime Wa Kami Goe Ni Koi Ni Suru || Viewed: Chapter 53  
The God-Tier Guardian And The Love Of Six Princesses || Viewed: Chapter 1  
Isekai Tensei... Saretenee! || Viewed: Chapter 30  
The Lord's Coins Aren't Decreasing?! || Viewed: Chapter 115  
God's Webnovel || Viewed: Chapter 6  
6-Sai No Kenja Wa Hikage No Michi Wo Ayumitai || Viewed: Chapter 16  
Behold The True Villainess || Viewed: Chapter 105  
Konyaku Haki Sareta Reijo Wo Hirotta Ore Ga, Ikenai Koto Wo Oshiekomu Oishi Mono Wo Tabesasete Oshare Wo Sasete, Sekaichi Shiawasena Shojo Ni Produce! || Viewed: Chapter 31  
I Reincarnated as an SSS-Ranked Goblin || Viewed: Chapter 35  
Ichioku-Nen Button O Renda Shita Ore Wa, Kizuitara Saikyou Ni Natteita || Viewed: Chapter 27.1  
Bizarre Restaurant || Viewed: Chapter 41  
I Rely On Cheat To Hunt Gods || Viewed: Chapter 7  
Deathbound Duke's Daughter And Seven Noblemen || Viewed: Chapter 25  
Million Times Attack Speed || Viewed: Chapter 28  
Overpowered Sword || Viewed: Chapter 84  
Isekai Cheat Kaitakuki || Viewed: Chapter 1  
Isekai Shoukan Wa Nidome Desu || Viewed: Chapter 48  
Gokufuri Kyohi Shite Tesaguri Sutato! Toku-ka Shinai Hira, Nakama to Wakarete Tabi ni Deru || Viewed: Chapter 33  
My Disciples Are Super Gods || Viewed: Chapter 218  
Infinite skill getter || Viewed: Chapter 13  
9Th Class Sword Master: The Guardian Of The Sword || Viewed: Chapter 7  
Limit Breaker || Viewed: Chapter 118  
Isekai de Cheat Skill wo te ni Shita ore wa, Genjitsu Sekai wo mo Musou Suru ~Level Up wa Jinsei wo Kaeta~ || Viewed: Chapter 26  
Argate Online || Viewed: Chapter 39  
Time Stop Brave || Viewed: Chapter 45  
S-Rank Party Wo Munou Da To Tsuihousareta Kedo, || Viewed: Chapter 20  
Hero in White Coat || Viewed: Chapter 9  
I Scared The Divine Lord As I Handed Over The Ancient Immortal Pill || Viewed: Chapter 85  
Superhuman Battlefield || Viewed: Chapter 85  
The Priest Of Corruption || Viewed: Chapter 46  
Youngest Scion Of The Mages || Viewed: Chapter 82  
Grand Dwarf || Viewed: Chapter 18  
Moon Slayer || Viewed: Chapter 28  
Villainess Speedrun Stream || Viewed: Chapter 9  
Neta Chara Kari Play no Tsumori ga Isekai Shoukan ~Mayoibito wa Josei no Teki ni Ninteisaremashita~ || Viewed: Chapter 1  
Fuun Kara no Saikyou Otoko || Viewed: Chapter 24  
Reformation Of The Deadbeat Noble || Viewed: Chapter 110  
I'm the Guild Receptionist, but Since I Don't Want to Work Overtime, I Think I'll Just Solo the Boss || Viewed: Chapter 23  
Talent Copycat || Viewed: Chapter 69  
Skill Lender's Retrieving (Tale) ～I Told You It's 10% Per 10 Days at First, Didn't I～ || Viewed: Chapter 51  
My Daughter Is The Final Boss || Viewed: Chapter 99  
I Want To Play Happily Because I Got The Heavenly Castle || Viewed: Chapter 41  
Shokubutsu Mahou Chito de Nonbiri Ryoshu Seikatsu Hajimemasu Zense no Chishiki o Kushi Shite Nogyo Shitara, Gyakuten Jinsei Hajimatta Kudan || Viewed: Chapter 21  
Solo Eating To Overpowered || Viewed: Chapter 31  
I Was the Weakest of the Four Heavenly Kings. Since I Have Reincarnated, I Want to Lead a Peaceful Life || Viewed: Chapter 3.1  
My Noble Family Is Headed For Ruin, So I May As Well Study Magic In My Free Time || Viewed: Chapter 19  
I Swear I Won't Bother You Again! || Viewed: Chapter 21  
The Second Life Cheat Reincarnation Mage ~If The Strongest Reincarnated After 1000 Years, Life Would Be Too Easy~ || Viewed: Chapter 10.2  
Saikyou No Shien-Shoku "wajutsushi" Dearu Ore Wa Sekai Saikyou Kuran O Shitagaeru || Viewed: Chapter 45  
Dangerous Dungeon Escape || Viewed: Chapter 49  
Kiyoubinbou, Jou wo Tateru - Kaitaku Gakuen no Rettousei na no ni, Joukyuu-shoku no Skill to Mahou ga Subete Tsukaemasu || Viewed: Chapter 16  
Fushi no Gunzei wo Hikiiru Bocchi Shiryoujutsushi, Tenshoku shite SSS-Rank Boukensha ni naru. || Viewed: Chapter 8  
Damn Demonic Swords || Viewed: Chapter 23  
Losing Money To Be A Tycoon || Viewed: Chapter 86  
Spirit Farmer || Viewed: Chapter 165  
Sono Mono. Nochi ni... || Viewed: Chapter 30  
I Picked A Hammer To Save The World || Viewed: Chapter 54  
The Descent Of The Demonic Master || Viewed: Chapter 48  
Ending Maker || Viewed: Chapter 66  
Maken Tsukai no Moto Shounen Hei wa, Moto Teki Kanbu no Onee-san to Issho ni Ikitai || Viewed: Chapter 27  
The Iron-Blooded Necromancer Has Returned || Viewed: Chapter 33  
The Return Of The Prodigious Swordmaster || Viewed: Chapter 29  
